novembre        	novembre        	All’inizio di novembre cominciò a fare molto freddo.
intervallo      	intervallo      	La vigilia della prima partita di Harry, si trovavano tutti e tre fuori nel cortile gelido, durante l’intervallo, e lei aveva fatto apparire per incanto un fuoco di un azzurro splendente, che si poteva trasportare tenendolo in un vasetto della marmellata.
scaldando       	scaldare        	Ci si stavano scaldando tutti e tre la schiena, quando Piton attraversò il cortile.
purtroppo       	purtroppo       	Purtroppo, l’espressione colpevole dei loro volti attirò l’attenzione di Piton.
colpevole       	colpevole       	Purtroppo, l’espressione colpevole dei loro volti attirò l’attenzione di Piton.
pretesto        	pretesto        	Non aveva notato il fuoco, ma sembrava che stesse cercando un pretesto per rimproverarli.
rimproverarli   	rimproverare    	Non aveva notato il fuoco, ma sembrava che stesse cercando un pretesto per rimproverarli.
copiassero      	copiare         	Lei non avrebbe mai permesso che copiassero («Altrimenti, come fate a imparare?
soluzioni       	soluzione       	»), ma chiedendole di correggerli, i due ragazzi riuscivano a ottenere comunque le soluzioni esatte.
irrequieto      	irrequieto      	Harry si sentiva irrequieto.
riavere         	riavere         	Avrebbe voluto riavere Il Quidditch attraverso i secoli per distrarsi dal pensiero della partita dell’indomani, che lo rendeva nervoso.
distrarsi       	distrarsi       	Avrebbe voluto riavere Il Quidditch attraverso i secoli per distrarsi dal pensiero della partita dell’indomani, che lo rendeva nervoso.
comunicò        	comunicare      	Alzandosi, comunicò a Ron e a Hermione che intendeva andare a chiedergli di restituirglielo.
richiesta       	richiesta       	«Se sei proprio convinto» risposero in coro Ron e Hermione, ma Harry pensava che Piton non avrebbe rifiutato, se alla richiesta fossero stati presenti altri insegnanti.
parò            	pararsi         	Una scena orribile gli si parò davanti agli occhi.
maciullata      	maciullare      	Aveva una gamba tutta maciullata e sanguinante.
sanguinante     	sanguinare      	Aveva una gamba tutta maciullata e sanguinante.
bende           	benda           	Filch gli stava porgendo delle bende.
bada            	bada            	«Come si fa a tenere a bada tutte e tre le teste contemporaneamente?
sfigurato       	sfigurare       	Con il volto sfigurato dall’ira, Piton si abbassò rapidamente l’abito per nascondere la gamba.
eludere         	eludere         	«Il giorno di Halloween, Piton ha cercato di eludere la sorveglianza del cane a tre teste!
diversivo       	diversivo       	E sono pronto a scommettere la mia scopa che è stato lui a far entrare il troll, per creare un diversivo!» Hermione lo ascoltava con gli occhi sbarrati.
ronzava         	ronzare         	» Harry andò a dormire con quella domanda che gli ronzava per la testa.
chiacchiericcio 	chiacchierio    	La Sala Grande era piena del profumo delizioso delle salsicce fritte e dell’allegro chiacchiericcio dei ragazzi che non vedevano l’ora di assistere a una bella partita di Quidditch.
incoraggiò      	incoraggiare    	«Soltanto un pezzetto di pane tostato» lo incoraggiò Hermione.
malissimo       	malo            	Harry si sentiva malissimo.
braccati        	braccare        	«I Cercatori sono sempre quelli che più vengono braccati dall’altra squadra».
conforto        	conforto        	«Grazie del conforto morale, Seamus» disse Harry guardandolo versarsi una generosa quantità di ketchup sulle salsicce.
versarsi        	versarsi        	«Grazie del conforto morale, Seamus» disse Harry guardandolo versarsi una generosa quantità di ketchup sulle salsicce.
generosa        	generoso        	«Grazie del conforto morale, Seamus» disse Harry guardandolo versarsi una generosa quantità di ketchup sulle salsicce.
spalti          	spalti          	Per le undici, tutta la scolaresca era sugli spalti, intorno al campo di Quidditch.
binocoli        	binocolo        	Molti erano armati di binocoli.
tifoso          	tifoso          	Ron e Hermione si unirono a Neville, Seamus e Dean, il tifoso di calcio, che erano sulla gradinata più alta.
gradinata       	gradinata       	Ron e Hermione si unirono a Neville, Seamus e Dean, il tifoso di calcio, che erano sulla gradinata più alta.
dipinto         	dipingere       	Per fare una sorpresa a Harry, avevano dipinto un grosso striscione, ricavato da uno dei lenzuoli che Crosta aveva rosicchiato.
striscione      	striscione      	Per fare una sorpresa a Harry, avevano dipinto un grosso striscione, ricavato da uno dei lenzuoli che Crosta aveva rosicchiato.
ricavato        	ricavare        	Per fare una sorpresa a Harry, avevano dipinto un grosso striscione, ricavato da uno dei lenzuoli che Crosta aveva rosicchiato.
disegnare       	disegnare       	Sopra ci avevano scritto Potter sei tutti noi, e sotto Dean, che era molto bravo a disegnare, aveva schizzato un grosso leone, simbolo di Grifondoro.
ingegnoso       	ingegnoso       	Poi Hermione aveva fatto un piccolo, ingegnoso incantesimo per cui i colori apparivano cangianti.
cangianti       	cangiante       	Poi Hermione aveva fatto un piccolo, ingegnoso incantesimo per cui i colori apparivano cangianti.
spogliatoi      	spogliatoio     	Nel frattempo, negli spogliatoi, Harry e il resto della squadra si stavano cambiando e indossavano la loro divisa scarlatta (i Serpeverde avrebbero giocato in verde).
completò        	completare      	«...e ragazze» completò la Cacciatrice Angelina Johnson.
lupo            	lupo            	In bocca al lupo a tutti».
ovazioni        	ovazione        	Harry seguì Fred e George fuori dagli spogliatoi sperando che le ginocchia non gli si piegassero per l’emozione ed entrò in campo salutato da grandi ovazioni.
arbitrare       	arbitrare       	Ad arbitrare la partita sarebbe stata Madame Hooch che, ritta in mezzo al campo, aspettava le due squadre brandendo in mano la sua scopa.
raccomando      	raccomandarsi   	«Mi raccomando a tutti, voglio una partita senza scorrettezze» disse una volta che le due squadre furono riunite intorno a lei.
scorrettezze    	scorrettezza    	«Mi raccomando a tutti, voglio una partita senza scorrettezze» disse una volta che le due squadre furono riunite intorno a lei.
rivolgersi      	rivolgersi      	Harry notò che sembrava rivolgersi in modo speciale al Capitano di Serpeverde, Marcus Flint, un alunno del quinto anno.
motto           	motto           	Con la coda dell’occhio vide lo striscione che sventolava sopra la folla con il motto fosforescente Potter sei tutti noi.
fosforescente   	fosforescente   	Con la coda dell’occhio vide lo striscione che sventolava sopra la folla con il motto fosforescente Potter sei tutti noi.
arcione         	arcione         	» Harry salì in arcione alla sua Nimbus Duemila.
intercettata    	intercettare    	«...e la Pluffa è stata intercettata immediatamente da Angelina Johnson di Grifondoro... che brava Cacciatrice è questa ragazza, e anche piuttosto carina...» «JORDAN!
effettua        	effettuare      	Effettua un passaggio puntuale ad Alicia Spinnet, un’ottima scoperta di Oliver Wood, che l’anno scorso ha giocato soltanto come riserva... indietro alla Johnson e... no, la Pluffa è stata intercettata dal Capitano di Serpeverde Marcus Flint, che se la porta via:
puntuale        	puntuale        	Effettua un passaggio puntuale ad Alicia Spinnet, un’ottima scoperta di Oliver Wood, che l’anno scorso ha giocato soltanto come riserva... indietro alla Johnson e... no, la Pluffa è stata intercettata dal Capitano di Serpeverde Marcus Flint, che se la porta via:
scoperta        	scoperta        	Effettua un passaggio puntuale ad Alicia Spinnet, un’ottima scoperta di Oliver Wood, che l’anno scorso ha giocato soltanto come riserva... indietro alla Johnson e... no, la Pluffa è stata intercettata dal Capitano di Serpeverde Marcus Flint, che se la porta via:
riserva         	riserva         	Effettua un passaggio puntuale ad Alicia Spinnet, un’ottima scoperta di Oliver Wood, che l’anno scorso ha giocato soltanto come riserva... indietro alla Johnson e... no, la Pluffa è stata intercettata dal Capitano di Serpeverde Marcus Flint, che se la porta via:
azione          	azione          	eccolo che vola alto come un’aquila... sta per se... no, bloccato da un’ottima azione del Portiere di Grifondoro Wood, e Grifondoro è di nuovo in possesso della Pluffa.
possesso        	possesso        	eccolo che vola alto come un’aquila... sta per se... no, bloccato da un’ottima azione del Portiere di Grifondoro Wood, e Grifondoro è di nuovo in possesso della Pluffa.
ahi             	ahi             	Ed ecco la Cacciatrice di Grifondoro Katie Bell... bella picchiata intorno a Flint, poi di nuovo su... AHI!
ritorna         	ritornare       	La Pluffa ritorna a Serpeverde.
birra           	birra           	Ecco Adrian Pucey che parte a tutta birra verso le porte, ma è bloccato da un secondo Bolide lanciatogli contro da Fred o George Weasley, non riesco a distinguere chi dei due... bella mossa comunque, ora Johnson è in possesso della Pluffa, davanti a lei il campo è sgombro, e si allontana, vola via letteralmente... schiva un micidiale Bolide... è davanti alle porte – vai, Angelina!
sgombro         	sgombro         	Ecco Adrian Pucey che parte a tutta birra verso le porte, ma è bloccato da un secondo Bolide lanciatogli contro da Fred o George Weasley, non riesco a distinguere chi dei due... bella mossa comunque, ora Johnson è in possesso della Pluffa, davanti a lei il campo è sgombro, e si allontana, vola via letteralmente... schiva un micidiale Bolide... è davanti alle porte – vai, Angelina!
micidiale       	micidiale       	Ecco Adrian Pucey che parte a tutta birra verso le porte, ma è bloccato da un secondo Bolide lanciatogli contro da Fred o George Weasley, non riesco a distinguere chi dei due... bella mossa comunque, ora Johnson è in possesso della Pluffa, davanti a lei il campo è sgombro, e si allontana, vola via letteralmente... schiva un micidiale Bolide... è davanti alle porte – vai, Angelina!
bersaglio       	bersaglio       	– il Portiere Bletchley si tuffa... manca il bersaglio... GRIFONDORO HA SEGNATO!» L’aria gelida fu saturata dall’applauso dei Grifondoro e dalle urla e dai fischi dei Serpeverde.
saturata        	saturare        	– il Portiere Bletchley si tuffa... manca il bersaglio... GRIFONDORO HA SEGNATO!» L’aria gelida fu saturata dall’applauso dei Grifondoro e dalle urla e dai fischi dei Serpeverde.
fischi          	fisco           	– il Portiere Bletchley si tuffa... manca il bersaglio... GRIFONDORO HA SEGNATO!» L’aria gelida fu saturata dall’applauso dei Grifondoro e dalle urla e dai fischi dei Serpeverde.
orgoglio        	orgoglio        	«Stavo guardando dalla mia capanna» disse Hagrid mostrando con orgoglio un grosso binocolo che gli pendeva sul petto, «ma non è mica lo stesso che stare in mezzo alla gente allo stadio!
finora          	finora          	Il Boccino finora non s’è visto, eh?
granché         	granché         	«Finora Harry non ha avuto un granché da fare».
puntino         	puntino         	è già qualcosa» disse Hagrid portandosi il binocolo agli occhi e puntandolo verso il cielo, alla ricerca di Harry che appariva come un puntino lontano.
planava         	planare         	In alto, sopra le loro teste, il ragazzo planava di qua e di là, strabuzzando gli occhi per avvistare il Boccino.
strabuzzando    	strabuzzare     	In alto, sopra le loro teste, il ragazzo planava di qua e di là, strabuzzando gli occhi per avvistare il Boccino.
attacchi        	attacco         	«È inutile esporsi ad attacchi prima del necessario».
sfogo           	sfogo           	Quando Angelina aveva segnato, Harry aveva fatto un paio di giri della morte per dare sfogo all’euforia.
euforia         	euforia         	Quando Angelina aveva segnato, Harry aveva fatto un paio di giri della morte per dare sfogo all’euforia.
sprazzo         	sprazzo         	A un certo punto, aveva intravisto uno sprazzo dorato, ma era soltanto un riflesso dell’orologio da polso di uno dei gemelli Weasley, e un’altra volta un Bolide aveva deciso di schizzare verso di lui come una palla di cannone, ma lui l’aveva schivato e Fred Weasley si era messo a inseguirlo.
dorato          	dorato          	A un certo punto, aveva intravisto uno sprazzo dorato, ma era soltanto un riflesso dell’orologio da polso di uno dei gemelli Weasley, e un’altra volta un Bolide aveva deciso di schizzare verso di lui come una palla di cannone, ma lui l’aveva schivato e Fred Weasley si era messo a inseguirlo.
furiosamente    	furiosamente    	» aveva avuto il tempo di gridargli, mentre colpiva furiosamente il Bolide indirizzandolo contro Marcus Flint.
mormorio        	mormorio        	«Palla a Serpeverde» stava dicendo Lee Jordan, «il Cacciatore Pucey schiva due Bolidi, due Weasley e la Cacciatrice Bell, e avanza veloce verso... aspettate un attimo... ma quello non era il Boccino?» Un mormorio percorse gli spalti, mentre Adrian Pucey lasciava cadere la Pluffa, troppo preso a seguire con lo sguardo il lampo dorato che gli aveva sfiorato l’orecchio sinistro ed era passato oltre.
ruolo           	ruolo           	nel frattempo sembrava che i Cacciatori avessero dimenticato il loro ruolo, sospesi a mezz’aria, intenti a guardare.
accelerata      	accelerata      	Diede un’accelerata potente... WHAM!
rigore          	rigore          	Madame Hooch si rivolse a Flint con parole irate e poi ordinò un rigore a favore di Grifondoro.
espulsione      	espulsione      	«Arbitro, espulsione!
distaccato      	distaccato      	Intanto, Lee Jordan trovava difficile mantenersi distaccato.
lampante        	lampante        	«Quindi... dopo questa lampante e ignobile scorrettezza...» «Jordan!» ringhiò la professoressa McGonagall.
ignobile        	ignobile        	«Quindi... dopo questa lampante e ignobile scorrettezza...» «Jordan!» ringhiò la professoressa McGonagall.
palese          	palese          	«Voglio dire, dopo questo fallo palese e disgustoso...» «Jordan, ti avverto...» «E va bene.
disgustoso      	disgustoso      	«Voglio dire, dopo questo fallo palese e disgustoso...» «Jordan, ti avverto...» «E va bene.
pericolosamente 	pericolosamente 	Tutto accadde quando Harry evitò un altro Bolide che gli passò pericolosamente vicino alla testa.
scarto          	scarto          	La sua scopa, d’un tratto, ebbe uno scarto pauroso.
pauroso         	pauroso         	La sua scopa, d’un tratto, ebbe uno scarto pauroso.
frazione        	frazione        	Per una frazione di secondo, il ragazzo credette di essere sul punto di cadere.
cavaliere       	cavaliere       	Ma una Nimbus Duemila non decideva da sola, tutto d’un tratto, di disarcionare il suo cavaliere.
sospensione     	sospensione     	aveva una mezza idea di chiedere a Wood di domandare un minuto di sospensione.
comandi         	comando         	Ma poi si rese conto che la scopa non rispondeva assolutamente più ai comandi.
sterzare        	sterzare        	Non riusciva a sterzare.
violenti        	violento        	Zigzagava nell’aria dando violenti scossoni che rischiavano di farlo cadere.
scossoni        	scossone        	Zigzagava nell’aria dando violenti scossoni che rischiavano di farlo cadere.
esultavano      	esultare        	Serpeverde segna... oh, no...» I Serpeverde esultavano.
sbalzi          	sbalzo          	Lentamente, a sbalzi e strattoni, lo stava trasportando sempre più in alto, lontano dal gioco.
strattoni       	strattone       	Lentamente, a sbalzi e strattoni, lo stava trasportando sempre più in alto, lontano dal gioco.
capriole        	capriola        	La sua scopa aveva cominciato a fare le capriole, mentre lui riusciva a stento a reggersi in sella.
febbrilmente    	febbrilmente    	A queste parole, Hermione afferrò il binocolo di Hagrid, ma anziché guardare in alto verso Harry, cominciò febbrilmente a scrutare le file del pubblico.
dirimpetto      	dirimpetto      	Piton stava sulla gradinata dirimpetto alla loro.
sottovoce       	sottovoce       	Teneva gli occhi fissi su Harry e mormorava qualcosa sottovoce.
combinando      	combinare       	«Ne sta combinando una delle sue... sta stregando la scopa» disse
trarlo          	trarre          	Gli spettatori erano tutti in piedi e guardavano terrorizzati, mentre i gemelli Weasley volavano in soccorso dell’amico, cercando di trarlo in salvo su una delle loro scope, ma invano:
invano          	invano          	Gli spettatori erano tutti in piedi e guardavano terrorizzati, mentre i gemelli Weasley volavano in soccorso dell’amico, cercando di trarlo in salvo su una delle loro scope, ma invano:
accostavano     	accostarsi      	ogni volta che gli si accostavano, la scopa di Harry faceva un balzo più in alto.
impossessatosi  	impossessarsi   	Marcus Flint, impossessatosi della Pluffa, segnò cinque volte senza che nessuno se ne accorgesse.
palco           	palco           	Hermione si era fatta largo tra gli spettatori per raggiungere il palco dove si trovava Piton e ora stava correndo lungo la fila di sedili alle sue spalle;
accucciò        	accucciarsi     	Una volta raggiunto Piton, si accucciò, tirò fuori la bacchetta e bisbigliò alcune parole scelte con cura.
sprizzarono     	sprizzare       	Dalla bacchetta sprizzarono delle fiamme azzurre che andarono a colpire l’orlo dell’abito di Piton.
scopo           	scopo           	Un improvviso gemito di dolore fece capire alla ragazza che aveva ottenuto il suo scopo.
richiamò        	richiamare      	Richiamò il fuoco e lo rinchiuse in un vasetto, se lo mise in tasca e rifece il percorso inverso.
rifece          	rifare          	Richiamò il fuoco e lo rinchiuse in un vasetto, se lo mise in tasca e rifece il percorso inverso.
inverso         	inverso         	Richiamò il fuoco e lo rinchiuse in un vasetto, se lo mise in tasca e rifece il percorso inverso.
carponi         	carponi         	cadde carponi sul terreno di gioco, tossì e... qualcosa di dorato gli cadde in mano.
caos            	caos            	«Ho preso il Boccino!» gridò agitandolo sopra la testa, e la partita terminò nel caos generale.
sessanta        	sessanta        	Grifondoro aveva vinto per centosettanta a sessanta.
stupidate       	stupidata       	«Stupidate!» disse Hagrid che non aveva sentito una sola parola di quel che era accaduto a un passo da lui, sugli spalti.
tizio           	tizio           	«Sì... è mio... l’ho comprato da un tizio, un greco che ho incontrato al pub l’anno scorso... L’ho prestato a Silente per fare la guardia a...» «Sì?» disse Harry, desideroso di saperne di più.
greco           	greco           	«Sì... è mio... l’ho comprato da un tizio, un greco che ho incontrato al pub l’anno scorso... L’ho prestato a Silente per fare la guardia a...» «Sì?» disse Harry, desideroso di saperne di più.
desideroso      	desideroso      	«Sì... è mio... l’ho comprato da un tizio, un greco che ho incontrato al pub l’anno scorso... L’ho prestato a Silente per fare la guardia a...» «Sì?» disse Harry, desideroso di saperne di più.
scontroso       	scontroso       	«No, non chiedetemi di più» disse Hagrid scontroso.
avvenimenti     	avvenimento     	A quanto pareva, gli avvenimenti di quel pomeriggio le avevano fatto cambiare idea sul conto di Piton.
fattura         	fattura         	«Senti un po’ Hagrid, io riconosco una fattura quando ne vedo una;
visivo          	visivo          	Bisogna mantenere il contatto visivo, e Piton non batteva neanche le palpebre.
granchio        	granchio        	L’ho visto benissimo!» «E io vi dico che prendete un granchio» disse Hagrid accalorandosi.
accalorandosi   	accalorarsi     	L’ho visto benissimo!» «E io vi dico che prendete un granchio» disse Hagrid accalorandosi.
scordatevi      	scordarsi       	Scordatevi del cane, dimenticate a cosa fa la guardia.
