muscolo           	muscolo           	Non un solo muscolo gli si mosse sul volto.
rinvenire         	rinvenire         	«Ho fatto rinvenire Ron, e c’è voluto un bel po’ di tempo... Stavamo correndo su alla guferia per mandare il messaggio a Silente quando lo abbiamo incontrato nella Sala d’Ingresso.
intenzionalmente  	intenzionalmente  	«Tu pensi che lui abbia voluto farti fare tutto questo intenzionalmente?
strombazzando     	strombazzare      	probabilmente ha pensato che era mio diritto affrontare Voldemort, se ce la facevo...» «Sì, Silente lo va strombazzando ai quattro venti» disse Ron tutto orgoglioso.
conteggio         	conteggio         	Il conteggio dei punti è stato ultimato e naturalmente i Serpeverde hanno vinto:
ultimato          	ultimare          	Il conteggio dei punti è stato ultimato e naturalmente i Serpeverde hanno vinto:
repliche          	replica           	«Siete rimasti quasi quindici minuti, e ora... FUORI!» disse in un tono che non ammetteva repliche.
normalità         	normalità         	Dopo una buona nottata di sonno, Harry si sentì quasi tornato alla normalità.
tavolino          	tavolino          	«Voglio andare al banchetto» disse a Madame Pomfrey mentre questa era occupata a rimettere in ordine le molte scatole di dolci sul tavolino.
rischiosi         	rischioso         	«Posso, no?» «Il professor Silente dice che bisogna dartelo, questo permesso» disse in tono un po’ sdegnoso, come se a parer suo il professor Silente ignorasse quanto potessero essere rischiosi i banchetti.
rimorso           	rimorso           	» «Hagrid!» disse Harry scosso, vedendo Hagrid tremare di pena e di rimorso, con i lucciconi che gli rotolavano giù per la barba.
lucciconi         	luccicone         	» «Hagrid!» disse Harry scosso, vedendo Hagrid tremare di pena e di rimorso, con i lucciconi che gli rotolavano giù per la barba.
sconvolto         	sconvolgere       	Hagrid rimase talmente sconvolto che smise di piangere.
consolati         	consolato         	Dai, Hagrid, consolati:
vagoni            	vagone            	Su, prendi una Cioccorana, ne ho a vagoni...» Hagrid si asciugò il naso con il dorso della mano e disse:
rilegato          	rilegato          	Ieri Silente mi ha dato una giornata di libertà per farlo... anche se naturalmente faceva bene a buttarmi fuori... A ogni modo, questo è per te...» Sembrava un bel libro rilegato in cuoio.
ugualmente        	ugualmente        	» Harry non riusciva a parlare, ma Hagrid capì ugualmente.
assidue           	assiduo           	Era stato trattenuto dalle assidue cure di Madame Pomfrey, che aveva insistito per dargli un’ultima controllata, quindi la Sala Grande era già piena.
controllata       	controllata       	Era stato trattenuto dalle assidue cure di Madame Pomfrey, che aveva insistito per dargli un’ultima controllata, quindi la Sala Grande era già piena.
addobbata         	addobbare         	Era addobbata con i colori di Serpeverde, verde e argento, per festeggiare il fatto che aveva vinto la Coppa delle Case per il settimo anno di fila.
stendardo         	stendardo         	Un immenso stendardo con il serpente di Serpeverde copriva la parete dietro al tavolo degli insegnanti.
tediarvi          	tediare           	«E io devo tediarvi con una chiacchierata da vecchio bacucco, prima che possiamo affondare i denti nelle nostre deliziose leccornie.
bacucco           	bacucco           	«E io devo tediarvi con una chiacchierata da vecchio bacucco, prima che possiamo affondare i denti nelle nostre deliziose leccornie.
affondare         	affondare         	«E io devo tediarvi con una chiacchierata da vecchio bacucco, prima che possiamo affondare i denti nelle nostre deliziose leccornie.
scalpitio         	scalpitio         	Un boato di ovazioni e di scalpitio di piedi esplose dal tavolo di Serpeverde.
nausea            	nausea            	Harry vide Draco Malfoy che batteva il suo calice sul tavolo e quella visione gli fece venire la nausea.
considerazione    	considerazione    	«Ma ci sono alcuni recenti avvenimenti che vanno presi in considerazione».
ravanello         	ravanello         	sembrava un ravanello gravemente ustionato dal sole.
ustionato         	ustionato         	sembrava un ravanello gravemente ustionato dal sole.
incantato         	incantato         	Gli applausi dei Grifondoro raggiunsero quasi il soffitto incantato;
eccezionale       	eccezionale       	«...per il suo sangue freddo e l’eccezionale coraggio, attribuisco a Grifondoro altri sessanta punti!» Il frastuono divenne assordante.
ardimento         	ardimento         	«Affrontare i nemici richiede notevole ardimento.
pertanto          	pertanto          	E pertanto... attribuisco dieci punti al signor Neville Longbottom».
esplosione        	esplosione        	Chi si fosse trovato fuori dalla sala avrebbe potuto credere che ci fosse stata un’esplosione, tanto fu il baccano che scoppiò al tavolo di Grifondoro.
cencio            	cencio            	Harry, Ron e Hermione si erano alzati in piedi gridando e battendo le mani, mentre Neville, bianco come un cencio per lo choc, scompariva sotto un capannello di compagni che cercavano di abbracciarlo.
gomitata          	gomitata          	Harry, che stava ancora applaudendo, diede qualche gomitata a Ron indicandogli Malfoy, il quale non avrebbe potuto apparire più stupefatto e inorridito se qualcuno gli avesse fatto la Maledizione Petrificus.
stupefatto        	stupefatto        	Harry, che stava ancora applaudendo, diede qualche gomitata a Ron indicandogli Malfoy, il quale non avrebbe potuto apparire più stupefatto e inorridito se qualcuno gli avesse fatto la Maledizione Petrificus.
ritoccare         	ritoccare         	«Ciò significa» riprese Silente sovrastando la tempesta di applausi dei Corvonero e dei Tassofrasso, anche loro al settimo cielo per la sconfitta di Serpeverde, «ciò significa che dovremo ritoccare un po’ quelle decorazioni!»
istantaneamente   	istantaneamente   	Batté le mani e istantaneamente i parati verdi si fecero scarlatti e quelli d’argento divennero d’oro;
parati            	parati            	Batté le mani e istantaneamente i parati verdi si fecero scarlatti e quelli d’argento divennero d’oro;
rampante          	rampante          	l’enorme serpente di Serpeverde scomparve, lasciando il posto al leone rampante di Grifondoro.
stiracchiato      	stiracchiato      	Piton stringeva la mano alla professoressa McGonagall con stampato in volto un orribile sorriso stiracchiato.
sentimenti        	sentimento        	Il suo sguardo incrociò quello di Harry e il ragazzo capì all’istante che i sentimenti di Piton verso di lui non erano cambiati di una virgola.
virgola           	virgola           	Il suo sguardo incrociò quello di Harry e il ragazzo capì all’istante che i sentimenti di Piton verso di lui non erano cambiati di una virgola.
promossi          	promuovere        	Con loro grande sorpresa, sia lui che Ron erano stati promossi con buoni voti;
prevedibile       	prevedibile       	quanto a Hermione, com’era prevedibile, risultò l’alunna migliore dell’anno.
compensato        	compensare        	i buoni voti che aveva preso in Erbologia avevano compensato quelli disastrosi in Pozioni.
disastrosi        	disastroso        	i buoni voti che aveva preso in Erbologia avevano compensato quelli disastrosi in Pozioni.
acquattato        	acquattare        	Improvvisamente poi, un bel giorno, i loro guardaroba si svuotarono, i bauli si riempirono, il rospo di Neville fu trovato acquattato in un angolo dei bagni, e a tutti gli studenti vennero distribuiti avvisi scritti di non usare la magia durante le vacanze («Spero sempre che si dimentichino di darceli» aveva detto Fred Weasley tutto triste).
flottiglia        	flottiglia        	Hagrid si presentò per accompagnarli giù al lago, dove li attendeva una flottiglia di barche per traghettarli;
traghettarli      	traghettare       	Hagrid si presentò per accompagnarli giù al lago, dove li attendeva una flottiglia di barche per traghettarli;
rimpinzarono      	rimpinzare        	Si rimpinzarono di Gelatine Tuttigusti+1 mentre fuori dal finestrino guardavano sfrecciare le città dei Babbani;
rattrappita       	rattrappire       	Al passaggio c’era un’anziana guardia rattrappita che li fece uscire a due o tre alla volta, in modo che non attirassero l’attenzione saltando fuori tutti insieme da una solida barriera suscitando allarme fra i Babbani.
allarme           	allarme           	Al passaggio c’era un’anziana guardia rattrappita che li fece uscire a due o tre alla volta, in modo che non attirassero l’attenzione saltando fuori tutti insieme da una solida barriera suscitando allarme fra i Babbani.
rientrare         	rientrare         	La gente li urtava mentre procedevano verso il passaggio, pronti a rientrare nel mondo dei Babbani.
rimando           	rimando           	«Ma non dove sono diretto, sta’ pur certo» fece Harry di rimando.
maleducazione     	maleducazione     	«Guarda, mamma, lo vedo...» «Sta’ zitta, Ginny, è maleducazione segnare a dito le persone».
impegnativo       	impegnativo       	«Allora, è stato un anno impegnativo?» chiese.
baffuto           	baffuto           	«Sei pronto?» Era zio Vernon, paonazzo in volto come sempre, baffuto come sempre, e come sempre arrabbiato per la faccia tosta di Harry, che nel bel mezzo di una stazione affollata di gente comune andava in giro con una civetta in gabbia.
dubbiosa          	dubbioso          	«Spero che tu... ehm... faccia buone vacanze» disse Hermione lanciando un’occhiata dubbiosa a zio Vernon, ancora incredula che qualcuno potesse essere tanto antipatico.
meravigliati      	meravigliare      	«Ma sicuro» rispose Harry, e i due compagni rimasero meravigliati nel vedergli spuntare in volto un largo sorriso.
