litigio         	litigio        	Non era la prima volta che scoppiava un litigio durante la colazione, al numero 4 di Privet Drive.
rognoso         	rognoso        	Così era andato a occupare il posto che gli spettava nella scuola dei maghi, dove lui e la sua cicatrice erano famosi... ma ora l’anno scolastico era finito e lui era tornato dai Dursley per le vacanze estive, a essere trattato come un cane rognoso.
dodicesimo      	dodicesimo     	I Dursley non si erano neanche ricordati che quel giorno era il suo dodicesimo compleanno.
ricco           	ricco          	Un ricco costruttore sarebbe venuto a cena con la moglie e zio Vernon sperava di ottenere da lui un ordine importante (la ditta di zio Vernon produceva trapani).
costruttore     	costruttore    	Un ricco costruttore sarebbe venuto a cena con la moglie e zio Vernon sperava di ottenere da lui un ordine importante (la ditta di zio Vernon produceva trapani).
sfoderò         	sfoderare      	Dudley sfoderò un sorriso ebete e ottuso.
ebete           	ebete          	Dudley sfoderò un sorriso ebete e ottuso.
estasi          	estasi         	«Oh, li lascerai senza fiato!» gridò zia Petunia in estasi.
inespressiva    	inespressivo   	«E tu?» «Io me ne starò in camera mia senza il minimo rumore facendo finta di non esistere» disse Harry con voce inespressiva.
accomodare      	accomodare     	«Io li farò accomodare in salotto, gli presenterò te, Petunia, e gli verserò da bere.
gentiluomo      	gentiluomo     	«Il mio piccolo gentiluomo perfetto!» sospirò zia Petunia.
splendidamente  	splendidamente 	«Vernon mi dice che lei gioca a golf splendidamente, signor Mason... La prego, signora Mason, dove ha trovato quel bellissimo vestito?
tema            	tema           	«Che ne dici di questo? ‘Signor Mason, a scuola abbiamo fatto un tema su “Eroi del nostro tempo” e io ho parlato di lei’».
riemerse        	riemergere     	«E tu, ragazzo?» Harry riemerse, sforzandosi di rimanere impassibile.
impassibile     	impassibile    	«E tu, ragazzo?» Harry riemerse, sforzandosi di rimanere impassibile.
riaccompagnerai 	riaccompagnare 	Quando la cena sarà finita, tu, Petunia, riaccompagnerai la signora Mason in salotto per il caffè e io porterò la conversazione sui trapani.
contratto       	contratto      	Con un po’ di fortuna, avrò in mano il contratto firmato e controfirmato prima del telegiornale delle dieci.
controfirmato   	controfirmare  	Con un po’ di fortuna, avrò in mano il contratto firmato e controfirmato prima del telegiornale delle dieci.
smoking         	smoking        	«Bene... Io vado in centro a ritirare gli smoking per Dudley e per me.
pulizie         	pulizia        	Quanto a te» ringhiò a Harry, «vedi di non stare tra i piedi di tua zia mentre fa le pulizie».
nostalgia       	nostalgia      	Più di qualsiasi altra cosa avesse lasciato a Hogwarts, più ancora del Quidditch, Harry aveva nostalgia dei suoi migliori amici, Ron Weasley e Hermione Granger.
minorenni       	minorenne      	Ai maghi minorenni non era permesso fare incantesimi fuori della scuola.
catapultarsi    	catapultarsi   	Per le prime due settimane Harry si era divertito a farfugliare tra sé parole senza senso e guardare Dudley catapultarsi fuori dalla stanza con tutta la rapidità consentita dalle sue gambotte.
rapidità        	rapidità       	Per le prime due settimane Harry si era divertito a farfugliare tra sé parole senza senso e guardare Dudley catapultarsi fuori dalla stanza con tutta la rapidità consentita dalle sue gambotte.
fascino         	fascino        	Ma il lungo silenzio di Ron e di Hermione aveva fatto sentire Harry così tagliato fuori dal mondo della magia che anche tormentare Dudley aveva perso il suo fascino... e ora Ron e Hermione avevano dimenticato il suo compleanno.
nientemeno      	nientedimeno   	Alla fine dell’ultimo trimestre Harry si era trovato faccia a faccia nientemeno che con Voldemort in persona.
relitto         	relitto        	Voldemort poteva anche essere un relitto di ciò che era stato, ma era ancora terrificante, scaltro, determinato a riconquistare il potere.
scaltro         	scaltro        	Voldemort poteva anche essere un relitto di ciò che era stato, ma era ancora terrificante, scaltro, determinato a riconquistare il potere.
determinato     	determinato    	Voldemort poteva anche essere un relitto di ciò che era stato, ma era ancora terrificante, scaltro, determinato a riconquistare il potere.
drizzò          	drizzarsi      	Ancora una volta Harry era riuscito a sfuggire alle sue grinfie, ma per un pelo, e anche adesso, a distanza di molte settimane, il ragazzo continuava a svegliarsi di notte coperto di sudore freddo chiedendosi dove fosse Voldemort in quel momento, senza riuscire a dimenticare quel volto livido, quegli occhi folli e sbarrati... D’un tratto Harry si drizzò a sedere sulla panchina del giardino.
distrattamente  	distrattamente 	Aveva continuato a fissare distrattamente la siepe... e quella ricambiava il suo sguardo.
sogghignò       	sogghignare    	«Finalmente hai imparato i giorni della settimana!» «Oggi è il tuo compleanno» sogghignò Dudley.
stentorea       	stentoreo      	«T-tu non puoi... Papà t-ti ha d-detto che non d-devi fare magie... ha d-detto che t-ti b-butta fuori di casa... e tu non hai un posto dove andare... non hai amici che ti accolgano...» «Nomen omen!» disse Harry con voce stentorea.
insaponata      	insaponare     	Visto che né Dudley né la siepe avevano riportato alcun danno, zia Petunia capì che in realtà lui non aveva fatto nessuna magia; tuttavia Harry dovette chinarsi per schivare il colpo di una padella insaponata.
ciondolava      	ciondolare     	Mentre Dudley ciondolava in giro mangiando gelati, Harry pulì i vetri, lavò l’auto, falciò il prato e rassettò le aiuole, potò e annaffiò le rose e ridipinse la panchina del giardino.
lavò            	lavare         	Mentre Dudley ciondolava in giro mangiando gelati, Harry pulì i vetri, lavò l’auto, falciò il prato e rassettò le aiuole, potò e annaffiò le rose e ridipinse la panchina del giardino.
falciò          	falciare       	Mentre Dudley ciondolava in giro mangiando gelati, Harry pulì i vetri, lavò l’auto, falciò il prato e rassettò le aiuole, potò e annaffiò le rose e ridipinse la panchina del giardino.
rassettò        	rassettare     	Mentre Dudley ciondolava in giro mangiando gelati, Harry pulì i vetri, lavò l’auto, falciò il prato e rassettò le aiuole, potò e annaffiò le rose e ridipinse la panchina del giardino.
aiuole          	aiuola         	Mentre Dudley ciondolava in giro mangiando gelati, Harry pulì i vetri, lavò l’auto, falciò il prato e rassettò le aiuole, potò e annaffiò le rose e ridipinse la panchina del giardino.
annaffiò        	annaffiare     	Mentre Dudley ciondolava in giro mangiando gelati, Harry pulì i vetri, lavò l’auto, falciò il prato e rassettò le aiuole, potò e annaffiò le rose e ridipinse la panchina del giardino.
ridipinse       	ridipingere    	Mentre Dudley ciondolava in giro mangiando gelati, Harry pulì i vetri, lavò l’auto, falciò il prato e rassettò le aiuole, potò e annaffiò le rose e ridipinse la panchina del giardino.
sfolgorante     	sfolgorante    	Il sole sfolgorante gli bruciava la nuca.
concime         	concime        	‘Come vorrei che vedessero il famoso Harry Potter adesso!’ pensava furibondo mentre spargeva concime sulle aiuole, tutto sudato e con la schiena dolorante.
sudato          	sudato         	‘Come vorrei che vedessero il famoso Harry Potter adesso!’ pensava furibondo mentre spargeva concime sulle aiuole, tutto sudato e con la schiena dolorante.
dolorante       	dolorante      	‘Come vorrei che vedessero il famoso Harry Potter adesso!’ pensava furibondo mentre spargeva concime sulle aiuole, tutto sudato e con la schiena dolorante.
frigorifero     	frigorifero    	In cima al frigorifero troneggiava il dolce preparato per la cena: un’immensa montagna di panna montata guarnita di violette di zucchero.
troneggiava     	troneggiare    	In cima al frigorifero troneggiava il dolce preparato per la cena: un’immensa montagna di panna montata guarnita di violette di zucchero.
guarnita        	guarnire       	In cima al frigorifero troneggiava il dolce preparato per la cena: un’immensa montagna di panna montata guarnita di violette di zucchero.
violette        	violetta       	In cima al frigorifero troneggiava il dolce preparato per la cena: un’immensa montagna di panna montata guarnita di violette di zucchero.
zucchero        	zucchero       	In cima al frigorifero troneggiava il dolce preparato per la cena: un’immensa montagna di panna montata guarnita di violette di zucchero.
formaggio       	formaggio      	I Mason saranno qui tra poco!» lo incalzò zia Petunia indicando due fette di pane e un pezzo di formaggio sul tavolo da pranzo.
cocktail        	cocktail       	Lei indossava già un abito da cocktail rosa salmone.
salmone         	salmone        	Lei indossava già un abito da cocktail rosa salmone.
farfalla        	farfalla       	«E ora fila di sopra!» Passando davanti alla porta del salotto Harry intravide zio Vernon e Dudley in smoking e cravatta a farfalla.
pianerottolo    	pianerottolo   	Era appena arrivato al pianerottolo quando il campanello suonò e la faccia furibonda di zio Vernon apparve in fondo alle scale.
buttarsi        	buttarsi       	«Ricorda, ragazzo, un solo rumore e...» Harry raggiunse la sua camera in punta di piedi, vi scivolò dentro, chiuse la porta e si voltò per buttarsi sul letto.
