rendez-vous      	RENDEZ-VOUS SUR LA VOIE 9 3/4
détourner        	Les oreilles de Ron devinrent écarlates, comme s’il avait eu le sentiment d’en avoir trop dit et il détourna la tête.
honteux          	Harry ne voyait pas pourquoi il aurait fallu se sentir honteux de n’avoir pas les moyens d’acheter un hibou.
réconforter      	Cela sembla réconforter Ron.
annonce          	– Jusqu’à ce que Hagrid me l’annonce, je ne savais pas que j’étais un sorcier, je ne savais même rien de mes parents, ni de Voldemort.
rassurant        	– Oh non, dit Ron d’un ton rassurant.
vache            	Pendant un long moment, ils restèrent silencieux, contemplant les vaches et les moutons qui paissaient dans les prés, le long de la voie.
mouton           	Pendant un long moment, ils restèrent silencieux, contemplant les vaches et les moutons qui paissaient dans les prés, le long de la voie.
paître           	Pendant un long moment, ils restèrent silencieux, contemplant les vaches et les moutons qui paissaient dans les prés, le long de la voie.
pré              	Pendant un long moment, ils restèrent silencieux, contemplant les vaches et les moutons qui paissaient dans les prés, le long de la voie.
midi             	Vers midi et demi, ils entendirent un chariot tintinnabuler dans le couloir du wagon et une jeune femme souriante fit glisser la porte du compartiment.
marchandise      	– Vous désirez quelque chose, les enfants ? demanda-t-elle en montrant les marchandises disposées sur le chariot.
sandwich         	Ron, les oreilles à nouveau écarlates, marmonna qu’il avait apporté des sandwiches.
barre            	Pour la première fois de sa vie, Harry avait les poches pleines d’argent et il était décidé à s’en servir pour s’acheter autant de barres de chocolat qu’il lui plairait.
totalement       	Mais en examinant les friandises que vendait la jeune femme, il s’aperçut qu’elles lui étaient totalement inconnues.
dragée           	Jamais il n’avait entendu parler des Dragées surprises de Bertie Crochue, des Ballongommes du Bullard, des Chocogrenouilles, des Patacitrouilles, des Fondants du Chaudron ou des Baguettes magiques à la réglisse.
surprendre       	Jamais il n’avait entendu parler des Dragées surprises de Bertie Crochue, des Ballongommes du Bullard, des Chocogrenouilles, des Patacitrouilles, des Fondants du Chaudron ou des Baguettes magiques à la réglisse.
crochu           	Jamais il n’avait entendu parler des Dragées surprises de Bertie Crochue, des Ballongommes du Bullard, des Chocogrenouilles, des Patacitrouilles, des Fondants du Chaudron ou des Baguettes magiques à la réglisse.
fondant          	Jamais il n’avait entendu parler des Dragées surprises de Bertie Crochue, des Ballongommes du Bullard, des Chocogrenouilles, des Patacitrouilles, des Fondants du Chaudron ou des Baguettes magiques à la réglisse.
réglisse         	Jamais il n’avait entendu parler des Dragées surprises de Bertie Crochue, des Ballongommes du Bullard, des Chocogrenouilles, des Patacitrouilles, des Fondants du Chaudron ou des Baguettes magiques à la réglisse.
banquette        	Ron ouvrit de grands yeux lorsque Harry revint avec ses acquisitions et les étala sur la banquette.
affamer          	– Je suis affamé, dit Harry en mordant avidement dans un Patacitrouille.
mordre           	– Je suis affamé, dit Harry en mordant avidement dans un Patacitrouille.
échange          	– Si tu veux, je te l’échange contre ce qui te plaira.
proposer         	Vas-y, sers-toi, proposa Harry, ravi de pouvoir partager quelque chose avec quelqu’un pour la première fois de sa vie.
grenouille       	Ce ne sont pas de vraies grenouilles, j’espère ?
collection       	Non, mais regarde la carte qui est à l’intérieur, j’en fais collection.
aquilin          	Elle montrait la photo d’un homme avec des lunettes en demi-lune, un long nez aquilin, une chevelure argentée, une barbe et une moustache.
chevelure        	Elle montrait la photo d’un homme avec des lunettes en demi-lune, un long nez aquilin, une chevelure argentée, une barbe et une moustache.
portrait         	Sous le portrait était écrit le nom du personnage : Albus Dumbledore.
actuel           	Harry retourna la carte et lut : « Albus Dumbledore, actuel directeur du collège Poudlard.
considérer       	Considéré par beaucoup comme le plus grand sorcier des temps modernes, Dumbledore s’est notamment rendu célèbre en écrasant en 1945 le mage Grindelwald, de sinistre mémoire.
moderne          	Considéré par beaucoup comme le plus grand sorcier des temps modernes, Dumbledore s’est notamment rendu célèbre en écrasant en 1945 le mage Grindelwald, de sinistre mémoire.
collaboration    	Il travailla en étroite collaboration avec l’alchimiste Nicolas Flamel et on lui doit la découverte des douze propriétés du sang de dragon.
alchimiste       	Il travailla en étroite collaboration avec l’alchimiste Nicolas Flamel et on lui doit la découverte des douze propriétés du sang de dragon.
découverte       	Il travailla en étroite collaboration avec l’alchimiste Nicolas Flamel et on lui doit la découverte des douze propriétés du sang de dragon.
propriété        	Il travailla en étroite collaboration avec l’alchimiste Nicolas Flamel et on lui doit la découverte des douze propriétés du sang de dragon.
sang             	Il travailla en étroite collaboration avec l’alchimiste Nicolas Flamel et on lui doit la découverte des douze propriétés du sang de dragon.
passe-temps      	Les passe-temps préférés du professeur Dumbledore sont le bowling et la musique de chambre.
bowling          	Les passe-temps préférés du professeur Dumbledore sont le bowling et la musique de chambre.
musique          	Les passe-temps préférés du professeur Dumbledore sont le bowling et la musique de chambre.
stupéfaire       	Harry regarda à nouveau la photo et fut stupéfait de constater que Dumbledore avait disparu.
contemplation    	Il s’arracha enfin à la contemplation de la druidesse Cliodna qui se grattait le nez pour ouvrir un sachet de Dragées surprises de Bertie Crochue.
parfum           	Il y a toutes sortes de parfums.
tomber            	Si tu as de la chance, tu peux avoir chocolat, menthe ou orange, mais parfois, on tombe sur épinards ou foie et tripes.
épinard          	Si tu as de la chance, tu peux avoir chocolat, menthe ou orange, mais parfois, on tombe sur épinards ou foie et tripes.
tripe            	Si tu as de la chance, tu peux avoir chocolat, menthe ou orange, mais parfois, on tombe sur épinards ou foie et tripes.
mordre           	Ron prit une dragée verte, l’examina attentivement et en mordit prudemment l’extrémité.
coco             	Harry tomba sur divers parfums, toast grillé, noix de coco, haricots blancs, fraise, curry, gazon, café, sardine.
haricot          	Harry tomba sur divers parfums, toast grillé, noix de coco, haricots blancs, fraise, curry, gazon, café, sardine.
curry            	Harry tomba sur divers parfums, toast grillé, noix de coco, haricots blancs, fraise, curry, gazon, café, sardine.
gazon            	Harry tomba sur divers parfums, toast grillé, noix de coco, haricots blancs, fraise, curry, gazon, café, sardine.
café             	Harry tomba sur divers parfums, toast grillé, noix de coco, haricots blancs, fraise, curry, gazon, café, sardine.
sardine          	Harry tomba sur divers parfums, toast grillé, noix de coco, haricots blancs, fraise, curry, gazon, café, sardine.
goûter           	Il eut même le courage d’en goûter une qui avait une étrange couleur grise et que Ron refusa de toucher.
poivre           	C’était une dragée au poivre.
paysage          	Après avoir traversé des paysages de campagne aux champs bien dessinés, le train abordait à présent une région plus sauvage, avec des forêts, des collines, des rivières qui serpentaient parmi les arbres.
campagne         	Après avoir traversé des paysages de campagne aux champs bien dessinés, le train abordait à présent une région plus sauvage, avec des forêts, des collines, des rivières qui serpentaient parmi les arbres.
dessiner         	Après avoir traversé des paysages de campagne aux champs bien dessinés, le train abordait à présent une région plus sauvage, avec des forêts, des collines, des rivières qui serpentaient parmi les arbres.
colline          	Après avoir traversé des paysages de campagne aux champs bien dessinés, le train abordait à présent une région plus sauvage, avec des forêts, des collines, des rivières qui serpentaient parmi les arbres.
rivière          	Après avoir traversé des paysages de campagne aux champs bien dessinés, le train abordait à présent une région plus sauvage, avec des forêts, des collines, des rivières qui serpentaient parmi les arbres.
arbre            	Après avoir traversé des paysages de campagne aux champs bien dessinés, le train abordait à présent une région plus sauvage, avec des forêts, des collines, des rivières qui serpentaient parmi les arbres.
lamenter         	Je l’ai perdu, se lamenta le garçon.
accabler         	Oui, soupira le garçon d’un air accablé.
abîmer           	Il fouilla dans sa valise et en sortit une vieille baguette magique tout abîmée.
brandir          	Au moment où il brandissait sa baguette, le garçon qui avait perdu son crapaud revint à la porte du compartiment, accompagné d’une fille déjà vêtue de sa robe de Poudlard flambant neuve.
vêtir            	Au moment où il brandissait sa baguette, le garçon qui avait perdu son crapaud revint à la porte du compartiment, accompagné d’une fille déjà vêtue de sa robe de Poudlard flambant neuve.
sien             	Neville a perdu le sien, dit la fille.
ébouriffé        	Elle avait d’épais cheveux bruns ébouriffés, de grandes dents et un ton autoritaire.
autoritaire      	Elle avait d’épais cheveux bruns ébouriffés, de grandes dents et un ton autoritaire.
dépourvu         	Ron sembla pris au dépourvu.
jonquille        	– Bon, dit-il, allons y : Soleil, jonquille et canari, Que ce gros gras rat gris En jaune soit colorié De la tête jusqu’aux pieds.
colorier         	– Bon, dit-il, allons y : Soleil, jonquille et canari, Que ce gros gras rat gris En jaune soit colorié De la tête jusqu’aux pieds.
suffisant        	J’ai déjà appris par cœur tous les livres qui sont au programme, j’espère que ce sera suffisant pour débuter.
débuter          	J’ai déjà appris par cœur tous les livres qui sont au programme, j’espère que ce sera suffisant pour débuter.
soulager         	Harry jeta un coup d’œil à Ron et fut soulagé.
stupéfait       	Son expression stupéfaite montrait que lui non plus n’avait pas appris par cœur tous les livres du programme.
culture          	Je sais tout sur toi, j’ai lu quelques livres supplémentaires pour ma culture générale et je peux te dire qu’on parle de toi dans Histoire de la magie moderne, Grandeur et décadence de la magie noire et Les Grands Événements de la sorcellerie au XXe siècle.
général          	Je sais tout sur toi, j’ai lu quelques livres supplémentaires pour ma culture générale et je peux te dire qu’on parle de toi dans Histoire de la magie moderne, Grandeur et décadence de la magie noire et Les Grands Événements de la sorcellerie au XXe siècle.
grandeur         	Je sais tout sur toi, j’ai lu quelques livres supplémentaires pour ma culture générale et je peux te dire qu’on parle de toi dans Histoire de la magie moderne, Grandeur et décadence de la magie noire et Les Grands Événements de la sorcellerie au XXe siècle.
décadence        	Je sais tout sur toi, j’ai lu quelques livres supplémentaires pour ma culture générale et je peux te dire qu’on parle de toi dans Histoire de la magie moderne, Grandeur et décadence de la magie noire et Les Grands Événements de la sorcellerie au XXe siècle.
siècle           	Je sais tout sur toi, j’ai lu quelques livres supplémentaires pour ma culture générale et je peux te dire qu’on parle de toi dans Histoire de la magie moderne, Grandeur et décadence de la magie noire et Les Grands Événements de la sorcellerie au XXe siècle.
abasourdir       	– Ah bon ? dit Harry, abasourdi.
tarder           	Vous feriez bien de mettre vos robes de sorcier, vous deux, on ne va pas tarder à arriver.
diviser          	– L’école est divisée en quatre maisons, répondit Ron.
répartir         	Les élèves sont répartis dans chaque maison selon leur personnalité.
selon            	Les élèves sont répartis dans chaque maison selon leur personnalité.
personnalité     	Les élèves sont répartis dans chaque maison selon leur personnalité.
démoraliser      	La conversation sur les maisons de Poudlard semblait le démoraliser complètement.
diplôme          	Il se demandait ce que pouvait bien devenir un sorcier une fois ses diplômes en poche.
propos           	À propos de Gringotts, tu es au courant de ce qui s’est passé ?
article          	Il y a tout un article dans La Gazette du sorcier, mais j’imagine qu’on ne lit pas ça chez les Moldus.
nouvelle         	Harry retourna dans sa tête la nouvelle qu’il venait d’apprendre.
crainte          	Il commençait à ressentir un frisson de crainte chaque fois qu’on lui parlait de Vous-Savez-Qui.
avouer           	Je ne connais pas les équipes, avoua Harry.
match            	Il lui raconta les plus beaux matches qu’il avait vus en compagnie de ses frères et lui décrivit en détail le balai volant qu’il aurait aimé acheter s’il avait eu assez d’argent pour ça.
décrire          	Il lui raconta les plus beaux matches qu’il avait vus en compagnie de ses frères et lui décrivit en détail le balai volant qu’il aurait aimé acheter s’il avait eu assez d’argent pour ça.
aspect           	Il était en train de lui expliquer les aspects les plus complexes du jeu lorsque la porte du compartiment s’ouvrit à nouveau.
complexe         	Il était en train de lui expliquer les aspects les plus complexes du jeu lorsque la porte du compartiment s’ouvrit à nouveau.
lors             	Cette fois, il regardait Harry avec beaucoup plus d’intérêt que lors de leur première rencontre.
rencontre        	Cette fois, il regardait Harry avec beaucoup plus d’intérêt que lors de leur première rencontre.
solidement       	Tous deux étaient solidement bâtis et avaient l’air féroce.
bâti             	Tous deux étaient solidement bâtis et avaient l’air féroce.
lui              	– Lui, c’est Crabbe et l’autre, c’est Goyle, dit le garçon d’un air détaché.
toux             	Ron eut une toux discrète qui ressemblait à un ricanement.
discret          	Ron eut une toux discrète qui ressemblait à un ricanement.
ricanement       	Ron eut une toux discrète qui ressemblait à un ricanement.
nourrir          	Mon père m’a dit que tous les Weasley ont les cheveux roux, des taches de rousseur et beaucoup trop d’enfants pour pouvoir les nourrir.
fréquent         	– Fais bien attention à qui tu fréquentes, Potter.
douteux          	Si tu veux éviter les gens douteux, je peux te donner des conseils.
rosir            	Les joues pâles du garçon rosirent légèrement.
prudence         	Eux aussi ont manqué de prudence.
racaille         	Si tu traînes avec de la racaille comme les Weasley ou ce Hagrid, ils finiront par déteindre sur toi.
déteindre        	Si tu traînes avec de la racaille comme les Weasley ou ce Hagrid, ils finiront par déteindre sur toi.
gars             	Oh, mais on n’a pas du tout l’intention de s’en aller, pas vrai, les gars ?
adversaire       	Ron se jeta aussitôt sur lui, mais avant qu’il ait pu toucher son adversaire, celui-ci poussa un hurlement épouvantable.
phalange         	Croûtard le rat était suspendu à un doigt de Goyle, ses dents pointues profondément plantées dans une phalange.
prise            	Le rat finit par lâcher prise et fut projeté contre la fenêtre.
éclipser         	Les trois garçons s’éclipsèrent aussitôt, craignant sans doute que d’autres rats se soient cachés parmi les friandises.
assommer         	– Je crois bien qu’il est assommé, dit Ron.
prétendre        	Ils ont prétendu qu’ils avaient été victimes d’un mauvais sort, mais mon père n’y croit pas.
machiniste       	Je suis allée voir le machiniste dans la locomotive et il m’a dit que nous étions presque arrivés.
arriver           	Je suis allée voir le machiniste dans la locomotive et il m’a dit que nous étions presque arrivés.
hautain          	– D’accord, je m’en vais, dit Hermione d’un air hautain.
saleté           	J’étais venue vous voir parce que les autres ne font que des bêtises, ils courent dans le couloir comme des idiots et toi, tu as une saleté sur le nez, si tu veux savoir.
basket           	Celle de Ron était un peu trop courte pour lui, on voyait ses baskets et le bas de son pantalon.
bagage           	Veuillez laisser vos bagages dans les compartiments, ils seront acheminés séparément dans les locaux scolaires.
acheminer        	Veuillez laisser vos bagages dans les compartiments, ils seront acheminés séparément dans les locaux scolaires.
séparément       	Veuillez laisser vos bagages dans les compartiments, ils seront acheminés séparément dans les locaux scolaires.
local            	Veuillez laisser vos bagages dans les compartiments, ils seront acheminés séparément dans les locaux scolaires.
estomac          	Harry sentit son estomac se contracter et il vit Ron pâlir sous ses taches de rousseur.
contracter       	Harry sentit son estomac se contracter et il vit Ron pâlir sous ses taches de rousseur.
pâlir            	Harry sentit son estomac se contracter et il vit Ron pâlir sous ses taches de rousseur.
lampe            	Une lampe se balança alors au-dessus de leur tête et Harry entendit une voix familière :
familier         	Une lampe se balança alors au-dessus de leur tête et Harry entendit une voix familière :
rayonnant        	La grosse tête hirsute de Hagrid, le regard rayonnant, dominait la foule des élèves.
glissant         	Glissant et trébuchant, la file des élèves suivit Hagrid le long d’un chemin étroit et escarpé qui s’enfonçait dans l’obscurité.
escarpé          	Glissant et trébuchant, la file des élèves suivit Hagrid le long d’un chemin étroit et escarpé qui s’enfonçait dans l’obscurité.
tournant         	Après le prochain tournant.
déboucher        	L’étroit chemin avait soudain débouché sur la rive d’un grand lac noir.
rive             	L’étroit chemin avait soudain débouché sur la rive d’un grand lac noir.
percher          	De l’autre côté du lac, perché au sommet d’une montagne, un immense château hérissé de tours pointues étincelait de toutes ses fenêtres dans le ciel étoilé.
château          	De l’autre côté du lac, perché au sommet d’une montagne, un immense château hérissé de tours pointues étincelait de toutes ses fenêtres dans le ciel étoilé.
hérisser         	De l’autre côté du lac, perché au sommet d’une montagne, un immense château hérissé de tours pointues étincelait de toutes ses fenêtres dans le ciel étoilé.
étoilé           	De l’autre côté du lac, perché au sommet d’une montagne, un immense château hérissé de tours pointues étincelait de toutes ses fenêtres dans le ciel étoilé.
flotte           	– Pas plus de quatre par barque, lança Hagrid en montrant une flotte de petits canots alignés le long de la rive.
